employee_id,full_name,preferred_name,date_of_birth,gender_identity,work_email,personal_email,phone_number,home_address_city,home_address_state,home_address_zip,hire_date,employment_status,employment_type,department,job_title,manager_employee_id,work_location_type,salary_base_annual,performance_rating_latest,company_id,company_legal_name,company_trade_name,company_hq_state,company_industry_naics_code,company_primary_operating_state,company_operating_states_list,company_operating_states_count,company_state_focus_flag,company_state_focus_notes
EMP00000001,Jia Ye,Jia,1982-04-11,Female,jia.ye.emp00000001@dragon6128.com,jia.ye7083@icloud.com,+86-972-6520-8044,City_BJ_163,BJ,218649,2013-11-08,Active,Full-time,Data,Account Executive,,Hybrid,253433.91,3,CMP00065,Dragon6128 Group Tech Co,Dragon6128,QH,236220,JL,QH;SH;JL;CQ;HUN;GD;JX;HAN;HLJ;SX;TW,11,N,Multi-province Chinese footprint
EMP00000002,Yu Ma,Yu,1998-05-09,Male,yu.ma.emp00000002@eastern3219.com,yu.ma219@outlook.com,+86-573-5861-7850,City_BJ_296,BJ,373225,2010-08-04,Terminated,Full-time,Security,Customer Support Specialist,,Onsite,77627.93,3,CMP00279,Eastern3219 Group Corp,Eastern3219,HK,541512,GD,HK;TW;GD;HAN;SX;GX;CQ;HUN,8,N,Multi-province Chinese footprint
EMP00000003,Wei Chen,Wei,1964-05-06,Self-describe,wei.chen.emp00000003@golden8863.com,wei.chen9402@proton.me,+86-719-4839-1584,City_BJ_320,BJ,820440,2013-06-23,Active,Full-time,Finance,HR Specialist,,Onsite,158686.05,4,CMP00180,Golden8863 Group Corp,Golden8863,XZ,423430,ZJ,GS;GD;SC;YN;HEN;JX;QH;TW;HEB;ZJ;HLJ;XZ;XJ;SAX;GZ;HAN,16,N,Multi-province Chinese footprint
EMP00000004,Zhi Huang,Zhi,1973-03-19,Female,zhi.huang.emp00000004@celestial5285.com,zhi.huang3654@icloud.com,+86-514-5144-6147,City_BJ_368,BJ,445731,2012-10-16,Leave,Full-time,Finance,Senior Data Analyst,,Hybrid,257821.55,3,CMP00202,Celestial5285 Group Tech Co,Celestial5285,SD,611310,GX,SD;SH;TJ;CQ;JL;XJ;GX;GZ;HAN;SX;QH;NMG,12,N,Multi-province Chinese footprint
EMP00000005,Qian Qiu,Qian,1987-09-12,Male,qian.qiu.emp00000005@silk road8232.com,qian.qiu2773@proton.me,+86-561-5583-5927,City_BJ_22,BJ,308891,2025-05-13,Active,Temp,Legal,Data Analyst,,Onsite,205200.39,3,CMP00366,Silk Road8232 Group Holdings,Silk Road8232,JL,541511,JS,JL;SAX;JS;CQ;HAN,5,N,Multi-province Chinese footprint
EMP00000006,Tao Jia,Tao,2004-04-02,Prefer not to say,tao.jia.emp00000006@golden6802.com,tao.jia1717@proton.me,+86-842-6400-3902,City_BJ_355,BJ,833396,2015-08-12,Active,Full-time,Finance,Customer Support Specialist,,Onsite,31859.9,1,CMP00240,Golden6802 Group Holdings,Golden6802,YN,524210,JS,YN;GZ;JS;HEB;SD;HEN;BJ;CQ;HUN,9,N,Multi-province Chinese footprint
EMP00000007,Kun Cai,Kun,1978-07-03,Self-describe,kun.cai.emp00000007@celestial5018.com,kun.cai5790@yahoo.com,+86-391-6263-6121,City_BJ_35,BJ,140060,2024-06-28,Active,Full-time,Operations,Marketing Analyst,,Hybrid,67757.15,3,CMP00103,Celestial5018 Group Corp,Celestial5018,GS,611310,HEB,GS;HEB;HLJ,3,N,Multi-province Chinese footprint
EMP00000008,Feng He,Feng,2002-09-12,Prefer not to say,feng.he.emp00000008@golden8393.com,feng.he1296@gmail.com,+86-705-9309-2359,City_BJ_310,BJ,722909,2012-03-22,Active,Full-time,Legal,Security Analyst,,Onsite,170739.92,3,CMP00153,Golden8393 Group Corp,Golden8393,NMG,621111,ZJ,HEN;HAN;SAX;NMG;XJ;HK;NX;SH;HUN;BJ;HUB;GD;SC;ZJ;LN;JS;SD;SX;CQ;TW,20,N,Multi-province Chinese footprint
EMP00000009,Wei Sun,Wei,1995-12-08,Prefer not to say,wei.sun.emp00000009@celestial1365.com,wei.sun495@gmail.com,+86-528-1940-7699,City_BJ_32,BJ,383323,2014-05-16,Active,Full-time,IT,Security Analyst,,Onsite,193544.37,3,CMP00210,Celestial1365 Group Tech Co,Celestial1365,HK,454110,ZJ,HAN;HK;ZJ;XZ;GZ;HUB;FJ;XJ;SC;HUN;QH,11,N,Multi-province Chinese footprint
EMP00000010,Zhi Zhu,Zhi,1999-08-06,Male,zhi.zhu.emp00000010@jade7602.com,zhi.zhu6659@icloud.com,+86-156-1237-4925,City_BJ_79,BJ,787075,2012-07-17,Terminated,Full-time,Customer Support,Customer Support Specialist,,Remote,142239.25,3,CMP00174,Jade7602 Group Group,Jade7602,XZ,611310,HUB,XZ;HEN;SX;NX;HK;JX;CQ;YN;TJ;GS;HUB;HLJ;JL;GZ;GD;AH;BJ,17,N,Multi-province Chinese footprint
