employee_id,full_name,preferred_name,date_of_birth,gender_identity,work_email,personal_email,phone_number,home_address_city,home_address_state,home_address_zip,hire_date,employment_status,employment_type,department,job_title,manager_employee_id,work_location_type,salary_base_annual,performance_rating_latest,company_id,company_legal_name,company_trade_name,company_hq_state,company_industry_naics_code,company_primary_operating_state,company_operating_states_list,company_operating_states_count,company_state_focus_flag,company_state_focus_notes
EMP00000001,Francesca Janssen,Francesca,1993-03-28,Prefer not to say,francesca.janssen.emp00000001@continental9759.com,francesca.janssen744@proton.me,+60-158-517-4328,City_AT_350,AT,49692,2011-07-29,Active,Full-time,HR,Account Executive,,Onsite,114607.61,5,CMP00191,Continental9759 Group SE,Continental9759,CY,488510,BG,DE;ES;CY;EE;FI;PL;BG;SK;LU;FR;AT;MT;HR;RO;LV;IE,16,N,Multi-country EU footprint
EMP00000002,Pavol Ozols,Pavol,1991-12-31,Prefer not to say,pavol.ozols.emp00000002@central7039.com,pavol.ozols801@proton.me,+61-847-870-0505,City_AT_123,AT,74124,2024-02-23,Active,Full-time,Operations,Operations Manager,,Remote,46210.13,2,CMP00342,Central7039 Group NV,Central7039,PT,524210,GR,PT;PL;AT;FR;CZ;GR;SE;IT;CY;ES;BE;EE;HR;DE,14,N,Multi-country EU footprint
EMP00000003,Ingrid Hansen,Ingrid,2003-12-07,Non-binary,ingrid.hansen.emp00000003@rhine9811.com,ingrid.hansen9783@gmail.com,+90-320-204-1792,City_AT_10,AT,71763,2025-03-17,Terminated,Full-time,HR,Software Engineer,,Remote,28379.84,2,CMP00375,Rhine9811 Group Ltd,Rhine9811,RO,518210,MT,DE;DK;RO;PT;LU;BG;IT;MT;CY;SK;PL;HR,12,N,Multi-country EU footprint
EMP00000004,Katarina Martin,Katarina,2001-08-08,Non-binary,katarina.martin.emp00000004@mediterranean2811.com,katarina.martin2414@proton.me,+98-253-092-5114,City_AT_62,AT,99664,2023-10-23,Active,Part-time,Data,Marketing Analyst,,Remote,191919.35,4,CMP00187,Mediterranean2811 Group GmbH,Mediterranean2811,BG,488510,CY,IE;PL;BG;RO;HR;AT;DK;LV;SI;CY,10,N,Multi-country EU footprint
EMP00000005,Eva Schreiber,Eva,1971-10-21,Non-binary,eva.schreiber.emp00000005@danube6973.com,eva.schreiber4019@yahoo.com,+19-467-232-4876,City_AT_4,AT,33516,2023-01-20,Active,Full-time,Operations,Data Engineer,,Remote,24704.05,3,CMP00002,Danube6973 Group SRL,Danube6973,RO,518210,CZ,RO;ES;CZ,3,N,Multi-country EU footprint
EMP00000006,Lars Romano,Lars,2001-11-06,Self-describe,lars.romano.emp00000006@rhine1750.com,lars.romano8251@yahoo.com,+58-837-340-3127,City_AT_49,AT,91123,2011-12-23,Active,Part-time,Customer Support,Product Manager,,Onsite,62765.55,2,CMP00307,Rhine1750 Group NV,Rhine1750,HU,524210,NL,HU;LU;FI;EE;SI;LV;NL;DE;GR;SE;PT,11,N,Multi-country EU footprint
EMP00000007,Jan Johansson,Jan,1961-11-06,Self-describe,jan.johansson.emp00000007@danube6959.com,jan.johansson3869@gmail.com,+78-113-799-5635,City_AT_81,AT,13809,2016-05-24,Active,Full-time,IT,Operations Manager,,Onsite,150092.12,5,CMP00098,Danube6959 Group BV,Danube6959,LT,454110,LU,LT;BE;PL;LV;GR;LU;HR,7,N,Multi-country EU footprint
EMP00000008,Camille Jansen,Camille,1965-10-19,Female,camille.jansen.emp00000008@continental6830.com,camille.jansen625@icloud.com,+72-652-735-4352,City_AT_111,AT,89879,2019-04-03,Terminated,Full-time,Sales,QA Engineer,,Hybrid,105802.53,4,CMP00078,Continental6830 Group NV,Continental6830,DE,561110,NL,DE;NL;GR;HR,4,N,Multi-country EU footprint
EMP00000009,Marie Papadopoulos,Marie,1969-03-31,Male,marie.papadopoulos.emp00000009@euro1965.com,marie.papadopoulos337@proton.me,+98-316-873-9774,City_AT_314,AT,32273,2020-06-10,Active,Full-time,Customer Support,Software Engineer,,Remote,126429.03,4,CMP00365,Euro1965 Group Ltd,Euro1965,DE,334111,CZ,DE;CZ;DK,3,N,Multi-country EU footprint
EMP00000010,Astrid Nowak,Astrid,1986-05-13,Non-binary,astrid.nowak.emp00000010@central6168.com,astrid.nowak2274@outlook.com,+86-717-731-8063,City_AT_18,AT,65797,2014-12-27,Terminated,Full-time,Marketing,HR Specialist,,Hybrid,29650.79,5,CMP00294,Central6168 Group GmbH,Central6168,LT,311811,NL,LT;SI;HU;GR;MT;RO;HR;IE;CY;FI;LV;EE;IT;NL;BE;PT;FR;LU,18,N,Multi-country EU footprint
