employee_id,full_name,date_of_birth,gender_identity,work_email,phone_number,home_address_city,home_address_state_ut,home_address_pin_code,hire_date,employment_status,employment_type,department,job_title,manager_employee_id,employee_aadhaar_hash,employee_pan_hash,employee_upi_vpa,employee_epfo_uan_hash,employee_esic_ip_number_hash,company_id,company_legal_name,company_trade_name,company_hq_state_ut,company_industry_nic_code,company_primary_operating_state_ut,company_operating_states_ut_list,company_operating_states_ut_count,company_state_focus_flag,company_state_focus_notes
EMPIN00000001,Krishna Kapoor,1978-07-10,Male,krishna.kapoor.empin00000001@india5317.in,+91-8247222825,City_AP_377,AP,801685,2025-07-05,Active,Full-time,IT,IT Support Analyst,,da16e227f15f1f79,6f40c288f7ab3041,krishna4020@paytm,ace53f51b21d573a,6b8ffe07b4ed99bc,CMPIN00291,India5317 Limited,India5317,LA,30110,AS,AS;GA;AP;LA;UP;WB;TS;HR;BR;LD;MZ;CG;PB,13,N,Multi-region footprint
EMPIN00000002,Reyansh Bose,1985-07-22,Male,reyansh.bose.empin00000002@india4316.in,+91-8093973579,City_AP_225,AP,802965,2019-12-10,Active,Temp,Finance,Data Analyst,,75e2322fa9087573,4712c6017adb3c26,reyansh5761@okhdfcbank,cab93ea6fe61a7d5,9bcfe762bf8f0663,CMPIN00251,India4316 Limited,India4316,SK,49300,LA,AP;DN;AS;AR;MH;UK;AN;LA;MZ;TR;GA;CG;KL;HR,14,N,Multi-region footprint
EMPIN00000003,Rahul Banerjee,1995-10-20,Prefer not to say,rahul.banerjee.empin00000003@india1174.in,+91-7548314971,City_AP_379,AP,576573,2023-04-16,Active,Full-time,Finance,Customer Support Specialist,,ff7170df739cc772,7e312a9bf0c8260f,rahul5475@ibl,c6f9219a53e6eaa4,96ad2dbfbe17ae9d,CMPIN00305,India1174 Limited,India1174,AS,47110,UK,MZ;HR;TR;CH;AP;MH;DL;TS;UK;LA;GA,11,N,Multi-region footprint
EMPIN00000004,Meera Kumar,1988-10-19,Self-describe,meera.kumar.empin00000004@india4864.in,+91-9051704425,City_AP_184,AP,397545,2023-07-18,Active,Full-time,Security,Operations Manager,,41a23d832d24961d,646776c1ed60be43,meera4984@okaxis,d00b193de835867b,2be867acf911c323,CMPIN00194,India4864 Limited,India4864,TS,10710,GA,GA;MP;DN;MN;AR;UP;TN;AS;AP;ML;UK;PY;OD,13,N,Multi-region footprint
EMPIN00000005,Aarohi Rao,1956-05-01,Male,aarohi.rao.empin00000005@india920.in,+91-8610304755,City_AP_398,AP,695368,2011-12-18,Active,Full-time,Operations,Security Analyst,,83981f5f8bff6500,856a7c557737c146,aarohi9770@ibl,cd49f1b996baa330,568a3ca47b15bc5b,CMPIN00216,India920 Limited,India920,GJ,47110,TR,AS;TR;AN;AP;TN;MZ;PY;LA;SK;ML;BR;DL;GJ;LD,14,N,Multi-region footprint
EMPIN00000006,Diya Menon,1971-11-29,Prefer not to say,diya.menon.empin00000006@india5114.in,+91-6858465169,City_AP_256,AP,173735,2013-04-25,Terminated,Part-time,Product,Senior Data Analyst,,2dc1d8cc6c860ce2,ba4d697e93701aef,diya7633@ibl,28f3b63fa428618a,fe5059f6f60f0071,CMPIN00169,India5114 Limited,India5114,JK,30110,AR,TR;OD;TN;AP;AR;ML;JK;LD;TS;DL,10,N,Multi-region footprint
EMPIN00000007,Krishna Hussain,2000-10-14,Prefer not to say,krishna.hussain.empin00000007@india9637.in,+91-8888330820,City_AP_146,AP,278248,2017-01-30,Active,Full-time,Operations,Security Analyst,,7564e3a301b57a6b,e2880bfef49ae3db,krishna2018@okicici,ab24c68135f838d9,a22a2eb900cb5489,CMPIN00201,India9637 Limited,India9637,GJ,63111,PY,KA;TN;DL;RJ;NL;HR;CH;PY;BR;DN;AP,11,N,Multi-region footprint
EMPIN00000008,Reyansh Ghosh,1967-08-08,Non-binary,reyansh.ghosh.empin00000008@india9451.in,+91-9091404699,City_AP_236,AP,231188,2014-02-11,Active,Full-time,Security,HR Specialist,,385d80918139eaae,5abf70e0b34828de,reyansh6057@paytm,c9515f8135966659,aba18171f8a10994,CMPIN00217,India9451 Limited,India9451,ML,30110,ML,PY;TN;HP;LD;AP;MN;JK;WB;GA;ML;RJ;LA;DN,13,N,Multi-region footprint
EMPIN00000009,Pooja Pandey,1987-09-08,Male,pooja.pandey.empin00000009@apworks202.in,+91-6660216877,City_AP_190,AP,441774,2021-05-16,Active,Full-time,Marketing,Operations Manager,,30d8a7013f96a06f,02ab6b1ac46af7cc,pooja2301@ibl,5db00e0e127bd131,184b055d7c5aa57e,CMPIN00001,APWorks202 Private Limited,APWorks202,AP,47110,AP,AP,1,Y,Focused operations in AP
EMPIN00000010,Vikram Mehta,1972-04-17,Self-describe,vikram.mehta.empin00000010@india4316.in,+91-6398132708,City_AP_362,AP,510024,2020-12-11,Active,Full-time,Marketing,Financial Analyst,,6f9e23d7a6b3f296,64190a16f3ce7753,vikram3420@upi,d42b26342ccf8a1a,c47bb0c3a18d98be,CMPIN00251,India4316 Limited,India4316,SK,49300,LA,AP;DN;AS;AR;MH;UK;AN;LA;MZ;TR;GA;CG;KL;HR,14,N,Multi-region footprint
