employee_id,full_name,preferred_name,date_of_birth,gender_identity,work_email,personal_email,phone_number,home_address_city,home_address_state,home_address_zip,hire_date,employment_status,employment_type,department,job_title,manager_employee_id,work_location_type,salary_base_annual,performance_rating_latest,company_id,company_legal_name,company_trade_name,company_hq_state,company_industry_naics_code,company_primary_operating_state,company_operating_states_list,company_operating_states_count,company_state_focus_flag,company_state_focus_notes
EMP00000001,Gabriel Bravo,Gabriel,1994-01-05,Female,gabriel.bravo.emp00000001@sol9632.com,gabriel.bravo542@gmail.com,+20-052-083-3145,City_MX_331,MX,75067,2013-08-16,Active,Contractor,Operations,Marketing Analyst,,Hybrid,120728.31,5,CMP00370,Sol9632 Group SAPI,Sol9632,NI,713940,PY,NI;CL;PY;EC;CU;DO;CR;GT,8,N,Multi-country LATAM footprint
EMP00000002,Julio Delgado,Julio,2003-06-21,Male,julio.delgado.emp00000002@pacifico2369.com,julio.delgado3547@gmail.com,+42-632-595-5158,City_MX_181,MX,41365,2020-11-15,Terminated,Full-time,Operations,IT Support Analyst,,Onsite,15801.04,4,CMP00260,Pacifico2369 Group SAPI,Pacifico2369,PA,336111,EC,PA;VE;EC;GT;UY;CL;HN;PY;CU;MX;NI;DO;PE;SV;BO;CO;CR,17,N,Multi-country LATAM footprint
EMP00000003,Nicolas Costa,Nicolas,1976-08-27,Female,nicolas.costa.emp00000003@amazonia4262.com,nicolas.costa750@gmail.com,+24-374-407-9056,City_MX_292,MX,31514,2015-02-08,Leave,Part-time,Operations,Product Manager,,Onsite,90706.39,2,CMP00021,Amazonia4262 Group SA,Amazonia4262,JM,336111,CL,JM;PY;NI;CL,4,N,Multi-country LATAM footprint
EMP00000004,Carmen Fernandes,Carmen,1968-03-08,Prefer not to say,carmen.fernandes.emp00000004@andes8594.com,carmen.fernandes9466@icloud.com,+64-344-526-7562,City_MX_116,MX,27336,2016-07-13,Active,Full-time,Legal,Financial Analyst,,Remote,106850.02,3,CMP00375,Andes8594 Group SAS,Andes8594,VE,236220,SV,VE;MX;CO;PE;CU;JM;DO;UY;SV;PA;CL;PY;CR;HN;BR;GT;EC,17,N,Multi-country LATAM footprint
EMP00000005,Ivan Moreno,Ivan,1973-02-06,Male,ivan.moreno.emp00000005@austral7633.com,ivan.moreno776@yahoo.com,+17-059-165-3846,City_MX_128,MX,60510,2022-04-27,Active,Part-time,Product,Software Engineer,,Remote,90730.19,5,CMP00229,Austral7633 Group Corp,Austral7633,NI,524210,PE,NI;GT;BO;DO;CU;UY;AR;SV;CO;PY;PE;EC;VE;BR;CR;JM;MX,17,N,Multi-country LATAM footprint
EMP00000006,Andrea Flores,Andrea,1972-08-14,Non-binary,andrea.flores.emp00000006@caribe349.com,andrea.flores2839@proton.me,+19-212-917-6724,City_MX_98,MX,87893,2016-11-20,Active,Full-time,Customer Support,Sales Development Rep,,Onsite,73932.2,2,CMP00143,Caribe349 Group SA,Caribe349,CU,236220,GT,CU;VE;GT,3,N,Multi-country LATAM footprint
EMP00000007,Beatriz Flores,Beatriz,1993-08-24,Non-binary,beatriz.flores.emp00000007@austral7244.com,beatriz.flores5412@yahoo.com,+92-238-636-7905,City_MX_78,MX,11502,2018-12-12,Active,Intern,HR,Account Executive,,Hybrid,20254.46,3,CMP00245,Austral7244 Group SAPI,Austral7244,GT,517311,PA,GT;PA;PY,3,N,Multi-country LATAM footprint
EMP00000008,Bruno Flores,Bruno,1974-10-30,Female,bruno.flores.emp00000008@latino7749.com,bruno.flores9956@icloud.com,+61-923-362-2193,City_MX_297,MX,25384,2015-06-24,Active,Full-time,Customer Support,Sales Development Rep,,Onsite,46308.72,3,CMP00062,Latino7749 Group Corp,Latino7749,CL,236220,CR,CL;UY;JM;VE;CR;MX;SV,7,N,Multi-country LATAM footprint
EMP00000009,Luis Herrera,Luis,1961-07-10,Female,luis.herrera.emp00000009@austral1054.com,luis.herrera2056@yahoo.com,+66-947-000-3007,City_MX_318,MX,13453,2017-06-17,Active,Full-time,Customer Support,IT Support Analyst,,Hybrid,76257.98,5,CMP00274,Austral1054 Group SA de CV,Austral1054,PY,713940,PY,PY;JM;GT;EC;VE,5,N,Multi-country LATAM footprint
EMP00000010,Fernanda Espinoza,Fernanda,1982-08-20,Non-binary,fernanda.espinoza.emp00000010@pacifico4233.com,fernanda.espinoza902@proton.me,+01-166-878-3555,City_MX_117,MX,10413,2018-10-28,Active,Full-time,Security,Senior Data Analyst,,Remote,96566.34,3,CMP00124,Pacifico4233 Group SA de CV,Pacifico4233,BR,517311,VE,CL;VE;MX;PE;CO;NI;CU;EC;PA;SV;BO;BR,12,N,Multi-country LATAM footprint
