employee_id,full_name,preferred_name,date_of_birth,gender_identity,work_email,personal_email,phone_number,home_address_city,home_address_state,home_address_zip,hire_date,employment_status,employment_type,department,job_title,manager_employee_id,work_location_type,salary_base_annual,performance_rating_latest,company_id,company_legal_name,company_trade_name,company_hq_state,company_industry_naics_code,company_primary_operating_state,company_operating_states_list,company_operating_states_count,company_state_focus_flag,company_state_focus_notes
EMP00000001,Mia Moore,Mia,1971-06-29,Male,mia.moore.emp00000001@albion8901.com,mia.moore7334@icloud.com,+44-5429-171931,City_ENG-LDN_121,ENG-LDN,HS76 2OM,2025-01-24,Active,Part-time,Sales,Operations Manager,,Onsite,154329.11,4,CMP00120,Albion8901 Group Group,Albion8901,SCT-HI,445110,ENG-LDN,SCT-HI;ENG-HRT;ENG-KNT;NIR-E;ENG-LDN;WAL-S;ENG-MSY;ENG-CBG,8,N,Multi-region UK footprint
EMP00000002,William Murray,William,1987-02-10,Self-describe,william.murray.emp00000002@british3415.com,william.murray3899@proton.me,+44-4873-825914,City_ENG-LDN_397,ENG-LDN,PI5 5JP,2023-01-04,Active,Contractor,Sales,Data Engineer,,Hybrid,43552.01,3,CMP00103,British3415 Group LLP,British3415,ENG-NYK,454110,ENG-NYK,ENG-NYK;ENG-NW;ENG-NFK;ENG-SW;ENG-SOM;NIR-N,6,N,Multi-region UK footprint
EMP00000003,Declan Turner,Declan,1958-06-10,Self-describe,declan.turner.emp00000003@thames8080.com,declan.turner1342@yahoo.com,+44-4020-754060,City_ENG-LDN_367,ENG-LDN,AI43 6VJ,2011-03-22,Active,Full-time,HR,QA Engineer,,Remote,61591.3,4,CMP00031,Thames8080 Group Group,Thames8080,ENG-MSY,336111,ENG-SOM,ENG-MSY;ENG-BRK;SCT-CEN;ENG-SW;ENG-WM;ENG-NW;ENG-SOM;SCT-SW;WAL-N;ENG-KNT;SCT-SE;NIR-E,12,N,Multi-region UK footprint
EMP00000004,Cerys Jenkins,Cerys,1990-08-11,Non-binary,cerys.jenkins.emp00000004@albion4887.com,cerys.jenkins2801@yahoo.com,+44-3234-050525,City_ENG-LDN_321,ENG-LDN,LX77 6JS,2015-06-26,Active,Part-time,Engineering,Business Analyst,,Onsite,30539.09,3,CMP00193,Albion4887 Group PLC,Albion4887,SCT-SE,334111,SCT-HI,SCT-SE;SCT-HI;ENG-LNC;WAL-S,4,N,Multi-region UK footprint
EMP00000005,Lily Hall,Lily,1990-08-15,Non-binary,lily.hall.emp00000005@imperial9484.com,lily.hall3601@outlook.com,+44-8303-177021,City_ENG-LDN_176,ENG-LDN,CO19 6MY,2022-12-25,Active,Full-time,Customer Support,Account Executive,,Onsite,168955.47,3,CMP00214,Imperial9484 Group Ltd,Imperial9484,ENG-LDN,454110,ENG-HAM,ENG-LDN;SCT-HI;ENG-EE;ENG-HAM;ENG-WYK,5,N,Multi-region UK footprint
EMP00000006,Ruairi Byrne,Ruairi,1986-01-14,Male,ruairi.byrne.emp00000006@crown2795.com,ruairi.byrne7001@icloud.com,+44-9417-800605,City_ENG-LDN_309,ENG-LDN,XU87 5PG,2020-04-30,Active,Full-time,Legal,Senior Data Analyst,,Hybrid,162969.88,4,CMP00317,LondonWorks482 Group,Crown2795,ENG-LDN,621610,ENG-LDN,ENG-LDN,1,Y,Focused operations in ENG-LDN
EMP00000007,Eira Lloyd,Eira,2001-06-21,Non-binary,eira.lloyd.emp00000007@crown9430.com,eira.lloyd4892@icloud.com,+44-0284-323510,City_ENG-LDN_4,ENG-LDN,KM74 2VG,2024-08-04,Active,Full-time,Sales,HR Specialist,,Onsite,70144.27,2,CMP00041,Crown9430 Group LLP,Crown9430,ENG-EE,541512,ENG-NW,ENG-EE;ENG-SE;ENG-NW;ENG-BRK;ENG-HAM;SCT-SE,6,N,Multi-region UK footprint
EMP00000008,Sienna Bennett,Sienna,1979-08-12,Non-binary,sienna.bennett.emp00000008@albion8901.com,sienna.bennett1359@icloud.com,+44-7099-116102,City_ENG-LDN_48,ENG-LDN,BG62 6IU,2019-08-24,Active,Full-time,IT,Marketing Analyst,,Remote,50508.35,3,CMP00120,Albion8901 Group Group,Albion8901,SCT-HI,445110,ENG-LDN,SCT-HI;ENG-HRT;ENG-KNT;NIR-E;ENG-LDN;WAL-S;ENG-MSY;ENG-CBG,8,N,Multi-region UK footprint
EMP00000009,Aoife Hill,Aoife,1996-02-01,Prefer not to say,aoife.hill.emp00000009@thames4201.com,aoife.hill8543@icloud.com,+44-7470-741150,City_ENG-LDN_110,ENG-LDN,IB42 2HD,2010-03-30,Active,Full-time,Legal,Marketing Analyst,,Onsite,135189.17,4,CMP00381,Thames4201 Group Group,Thames4201,ENG-ESX,722511,ENG-SYK,ENG-SE;ENG-LDN;ENG-SOM;ENG-ESX;ENG-SYK;ENG-LNC;ENG-KNT;ENG-EM,8,N,Multi-region UK footprint
EMP00000010,Mia Turner,Mia,1963-01-22,Male,mia.turner.emp00000010@highland1445.com,mia.turner6999@proton.me,+44-1867-373000,City_ENG-LDN_397,ENG-LDN,CP26 1JT,2023-09-02,Terminated,Full-time,IT,HR Specialist,,Onsite,116907.59,4,CMP00190,Highland1445 Group LLP,Highland1445,ENG-WYK,713940,ENG-SOM,ENG-WYK;ENG-LDN;ENG-SYK;ENG-SW;ENG-COR;WAL-M;ENG-SOM;ENG-SE,8,N,Multi-region UK footprint
