tax_income_tax_year,tax_income_state_ut_code,tax_income_district_lgd_code,tax_income_pan_hash,tax_income_aadhaar_pan_linked_flag,tax_income_return_count,tax_income_total_income_inr,tax_income_taxable_income_inr,tax_income_total_tax_liability_inr,tax_income_effective_tax_rate_pct,tax_income_tds_withheld_inr,tax_income_self_assessment_paid_inr,tax_income_refund_amount_total_inr,tax_income_capital_gains_net_inr,tax_income_house_property_income_inr,tax_income_business_profession_income_inr,tax_income_tax_regime_code,tax_income_audit_selection_rate_pct,tax_income_processing_time_days_median,tax_income_data_extract_date
2018,DL,323174,07c92a67ef632f8dd8a53290b3bf83679323489e103c379c42270ba51d92e26c,1,188698,1236148,1206349,139784,11.59,147081,0,7297,107844,423917,95001,NEW,0.81,96,2024-01-24
2024,AS,038427,ad94079ae4726778ce234b69a8aa04f05f846c5e8e7d8cb95efe0e03ad14a78d,1,175811,4671345,4242803,541636,12.77,364762,158044,0,806608,53585,970226,OLD,0.73,9,2025-08-04
2023,MN,150352,7e437c612f3acc4d09948d4e6e4f35e1075ace55b69f9588cd1a99ae2f1e2a4e,1,110382,2093769,1551210,145458,9.38,74411,39629,0,222374,-37043,84726,NEW,0.16,58,2026-02-07
2021,MZ,174463,c502f885928d789b6e827314b514eba632ecedd12699d10799c7eeb58b24741b,1,7828,3300633,2592271,135189,5.22,150503,0,15314,810853,133268,611641,NEW,5.87,11,2025-04-29
2021,AN,298009,2b7575a64466227b1e9186b93704275c6c7842c8d98b21ba18d8d6ef14a5bc4a,1,57897,5465467,4188854,125665,3.0,139200,0,13535,44733,54031,2032497,NEW,3.96,30,2026-01-29
2024,CG,059529,f0a06583d43638ca83209399c162b69cdda961ecf0a12c414df1e8c79b465852,0,53170,1247562,769666,65121,8.46,72064,0,6943,272766,345743,501191,NEW,2.0,59,2024-04-16
2018,ML,162514,454cca6e67d918c2f19eb728618c922bc4b6a4f11e4c44245f43b922cfc0bee3,1,2488,2649316,2430477,386241,15.89,460174,0,73933,89245,316953,618755,NEW,3.52,83,2025-02-11
2023,GA,066507,5021bfd59512d3317137318c97b32be7c6e7afeb51604fb700821d21f7fb7b9d,1,24659,1172805,985848,210343,21.34,184456,23360,0,60054,384362,151152,OLD,3.75,5,2025-09-02
2019,AN,291896,97216c6fea3257de0f6b0862267918c962e8adf8b881ca21383d1c90c6fe43a6,1,115388,2705580,2230242,523372,23.47,423929,47022,0,357342,115535,893006,OLD,1.18,86,2024-09-28
2018,TN,231158,4c0fb9fe9d9348954eda45afa6c9a3a7d86a27713543661c961916e2ff5efd6a,1,20504,1912208,1232881,234978,19.06,243875,0,8897,416600,182803,549793,NEW,1.8,63,2025-10-20
2022,NL,183530,8807d854aaa7944ed4e3fda8533454a3cf9ab13bc0b2aeeb159fbdbba64050a4,1,8691,5505540,3390633,125927,3.71,61465,25803,0,569934,369953,1165602,OLD,3.33,3,2024-03-28
2025,MN,158850,dfced7417abe86b21c54080f74503b8d19781203686f2d0fed9f298d3d640cd7,1,189182,1922623,1779197,245699,13.81,252194,0,6495,141107,286364,411275,NEW,5.05,14,2025-11-09
2023,GA,066894,e1b61e0ad2413146300525c817e40ce4b20b156a38e5fc9a425e46745fd63563,1,121341,3742577,2347149,501280,21.36,526234,0,24954,375822,421017,830651,NEW,0.86,114,2024-02-13
2024,LA,344892,b1ea8333028fc4ed0f76ab40233b376f94401e494908b55be5bea974707c082f,1,161308,949546,552349,131357,23.78,113197,10138,0,22395,439076,144956,NEW,5.16,55,2024-03-13
2023,TS,242828,a834fde4a71dd57aba7945320bb31c1f804d62c8c5fc208798f4e54f42fcbc7f,1,50460,2817859,2307855,239652,10.38,170233,1012,0,590506,-77011,658073,NEW,3.69,111,2025-09-24
2024,KL,121416,c0d0d94860ccb4d067b92c844c27c980867e89d8464f1e47b8639cb4d07d9100,1,73580,5032764,4292281,1275241,29.71,1179574,15057,0,1151515,13981,129937,OLD,2.99,63,2026-02-01
