employee_id,full_name,preferred_name,date_of_birth,gender_identity,work_email,personal_email,phone_number,home_address_city,home_address_state,home_address_zip,hire_date,employment_status,employment_type,department,job_title,manager_employee_id,work_location_type,salary_base_annual,performance_rating_latest,company_id,company_legal_name,company_trade_name,company_hq_state,company_industry_naics_code,company_primary_operating_state,company_operating_states_list,company_operating_states_count,company_state_focus_flag,company_state_focus_notes
EMP00000001,Amara Ngcobo,Amara,1971-06-14,Prefer not to say,amara.ngcobo.emp00000001@sahara895.com,amara.ngcobo5068@proton.me,+814-57-702-7587,City_DZ_211,DZ,90495,2010-01-05,Active,Full-time,HR,Sales Development Rep,,Hybrid,23283.97,2,CMP00213,Sahara895 Group PLC,Sahara895,BJ,722511,LY,BJ;TG;BI;TN;DJ;GH;CG;SD;MG;KE;ST;LY;GM;TD;GQ;KM;LS;CF;CI;LR,20,N,Multi-country African footprint
EMP00000002,Safiya Nkomo,Safiya,1972-12-13,Prefer not to say,safiya.nkomo.emp00000002@atlas2326.com,safiya.nkomo6589@gmail.com,+450-06-960-8967,City_DZ_89,DZ,48689,2021-12-05,Active,Full-time,Customer Support,Product Manager,,Onsite,92474.72,3,CMP00270,Atlas2326 Group PLC,Atlas2326,BW,311811,NE,BW;TD;SD;ZM;EG;MA;CI;AO;SO;SZ;SS;GN;TN;NE,14,N,Multi-country African footprint
EMP00000003,Ama Moyo,Ama,1969-01-18,Prefer not to say,ama.moyo.emp00000003@savanna4368.com,ama.moyo9685@outlook.com,+914-02-196-6260,City_DZ_385,DZ,88162,2016-06-18,Leave,Temp,Operations,Data Analyst,,Onsite,70509.43,5,CMP00269,Savanna4368 Group Holdings,Savanna4368,LY,812990,MU,LY;TZ;LS;ST;TN;MU;GA;SD,8,N,Multi-country African footprint
EMP00000004,Ama Ncube,Ama,1960-11-16,Female,ama.ncube.emp00000004@nile327.com,ama.ncube2436@yahoo.com,+977-22-260-8511,City_DZ_359,DZ,84136,2013-04-10,Terminated,Full-time,Data,Financial Analyst,,Remote,42154.06,1,CMP00054,Nile327 Group Corp,Nile327,ST,812990,GN,ST;GN;CG;TG;CD;CV;ML;GW;CI;BI,10,N,Multi-country African footprint
EMP00000005,Zainab Mahlangu,Zainab,1992-09-23,Non-binary,zainab.mahlangu.emp00000005@sahara6501.com,zainab.mahlangu1780@gmail.com,+190-28-536-7342,City_DZ_12,DZ,36461,2011-06-01,Active,Full-time,HR,Product Manager,,Hybrid,15143.65,3,CMP00021,Sahara6501 Group PLC,Sahara6501,SL,423430,SL,SL;GQ;CD;MA;GN;MZ;BF;DJ;MG;ZA;GM;BW;NA;NE;SD;LY;LR,17,N,Multi-country African footprint
EMP00000006,Wanjiru Otieno,Wanjiru,2005-04-12,Non-binary,wanjiru.otieno.emp00000006@ubuntu9451.com,wanjiru.otieno7081@gmail.com,+242-67-969-6109,City_DZ_155,DZ,80055,2015-12-01,Leave,Full-time,Finance,QA Engineer,,Hybrid,69984.36,4,CMP00225,Ubuntu9451 Group Holdings,Ubuntu9451,GQ,621610,GW,SN;TZ;NG;LS;GA;EG;MA;GW;CM;MG;ZA;BF;GQ;MU;SL;GN;UG;DZ,18,N,Multi-country African footprint
EMP00000007,Oumar Okoro,Oumar,1966-09-08,Non-binary,oumar.okoro.emp00000007@kilimanjaro8862.com,oumar.okoro493@proton.me,+221-01-259-9041,City_DZ_201,DZ,17983,2013-12-02,Active,Intern,Sales,Customer Support Specialist,,Hybrid,42473.58,4,CMP00043,Kilimanjaro8862 Group Inc,Kilimanjaro8862,NA,722511,SD,NA;DJ;ZW;CV;ML;LR;GA;SD,8,N,Multi-country African footprint
EMP00000008,Nyah Ouedraogo,Nyah,1988-01-26,Female,nyah.ouedraogo.emp00000008@nile327.com,nyah.ouedraogo893@proton.me,+170-25-073-6342,City_DZ_152,DZ,80182,2018-05-29,Active,Full-time,Operations,Data Analyst,,Remote,79118.78,4,CMP00054,Nile327 Group Corp,Nile327,ST,812990,GN,ST;GN;CG;TG;CD;CV;ML;GW;CI;BI,10,N,Multi-country African footprint
EMP00000009,Jabari Okoro,Jabari,1967-09-21,Female,jabari.okoro.emp00000009@sahara6269.com,jabari.okoro9752@proton.me,+234-42-221-2635,City_DZ_377,DZ,21753,2016-03-10,Active,Full-time,Product,Operations Manager,,Onsite,67675.86,3,CMP00171,Sahara6269 Group PLC,Sahara6269,SN,488510,GN,SN;GH;LY;ER;CV;SS;KM;MG;KE;CM;BI;CI;GN;MA;LR;CG,16,N,Multi-country African footprint
EMP00000010,Daniel Mugisha,Daniel,2005-08-21,Non-binary,daniel.mugisha.emp00000010@savanna4609.com,daniel.mugisha2097@outlook.com,+149-32-128-4377,City_DZ_238,DZ,16635,2013-09-04,Active,Part-time,Data,Data Analyst,,Remote,80153.3,4,CMP00131,Savanna4609 Group SA,Savanna4609,SD,336111,ER,SD;SL;UG;ER;CD;NG;TN;BW;CM,9,N,Multi-country African footprint
